id;nombre;apellido;telefono;direccion;edad;SQL
44;Kahlil;Worge;4365955161;Hallows;49;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (44, 'Kahlil', 'Worge', '4365955161', 'Hallows', 49);"
45;Wynne;Exon;2097247197;Surrey;66;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (45, 'Wynne', 'Exon', '2097247197', 'Surrey', 66);"
46;Katrine;Dadswell;3039464090;Kropf;59;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (46, 'Katrine', 'Dadswell', '3039464090', 'Kropf', 59);"
47;Tanhya;Cicci;4959299663;Village Green;58;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (47, 'Tanhya', 'Cicci', '4959299663', 'Village Green', 58);"
48;Emilia;Solway;5614678790;Waubesa;21;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (48, 'Emilia', 'Solway', '5614678790', 'Waubesa', 21);"
49;Peta;Lempenny;8431125131;Gateway;56;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (49, 'Peta', 'Lempenny', '8431125131', 'Gateway', 56);"
50;Barbey;McReynolds;9552525602;Old Shore;57;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (50, 'Barbey', 'McReynolds', '9552525602', 'Old Shore', 57);"
51;Davita;Clubley;8433425415;Sunbrook;46;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (51, 'Davita', 'Clubley', '8433425415', 'Sunbrook', 46);"
52;Brose;Dorbon;5851923038;Commercial;65;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (52, 'Brose', 'Dorbon', '5851923038', 'Commercial', 65);"
53;Guinna;Thurgood;6669661189;Waubesa;20;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (53, 'Guinna', 'Thurgood', '6669661189', 'Waubesa', 20);"
54;Charmine;Symones;8287158801;Michigan;64;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (54, 'Charmine', 'Symones', '8287158801', 'Michigan', 64);"
55;Brandais;Niche;4611945245;Petterle;46;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (55, 'Brandais', 'Niche', '4611945245', 'Petterle', 46);"
56;Teodoro;Wedlock;1865934038;Dwight;24;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (56, 'Teodoro', 'Wedlock', '1865934038', 'Dwight', 24);"
57;Reeta;Abberley;7133297564;Lunder;18;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (57, 'Reeta', 'Abberley', '7133297564', 'Lunder', 18);"
58;Devland;Arnow;5474947800;Golf;42;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (58, 'Devland', 'Arnow', '5474947800', 'Golf', 42);"
59;Moria;Scarlett;2206583540;Messerschmidt;59;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (59, 'Moria', 'Scarlett', '2206583540', 'Messerschmidt', 59);"
60;Zane;Galego;5561315189;Hooker;36;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (60, 'Zane', 'Galego', '5561315189', 'Hooker', 36);"
61;Kalil;Clemitt;1012917865;Farragut;44;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (61, 'Kalil', 'Clemitt', '1012917865', 'Farragut', 44);"
62;Tony;Bath;6897215887;Coleman;39;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (62, 'Tony', 'Bath', '6897215887', 'Coleman', 39);"
63;Pernell;Waight;7559710066;Bowman;20;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (63, 'Pernell', 'Waight', '7559710066', 'Bowman', 20);"
64;Terrye;Catterson;1446488442;Messerschmidt;37;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (64, 'Terrye', 'Catterson', '1446488442', 'Messerschmidt', 37);"
65;Frankie;Ryam;5859872200;Heath;48;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (65, 'Frankie', 'Ryam', '5859872200', 'Heath', 48);"
66;Lucila;Nadin;1347241664;Hovde;56;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (66, 'Lucila', 'Nadin', '1347241664', 'Hovde', 56);"
67;Viviana;Josephoff;1977118961;Lerdahl;44;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (67, 'Viviana', 'Josephoff', '1977118961', 'Lerdahl', 44);"
68;Cyrill;Tongs;1925852427;Northland;67;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (68, 'Cyrill', 'Tongs', '1925852427', 'Northland', 67);"
69;Bertie;Wrintmore;7055747059;Barby;49;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (69, 'Bertie', 'Wrintmore', '7055747059', 'Barby', 49);"
70;Arlina;Prozescky;9871900029;Cherokee;33;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (70, 'Arlina', 'Prozescky', '9871900029', 'Cherokee', 33);"
71;Ellen;Arzu;8567220535;Harbort;20;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (71, 'Ellen', 'Arzu', '8567220535', 'Harbort', 20);"
72;Aharon;Murcutt;5225982132;Loftsgordon;65;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (72, 'Aharon', 'Murcutt', '5225982132', 'Loftsgordon', 65);"
73;Suki;Scollard;5823285116;Maywood;31;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (73, 'Suki', 'Scollard', '5823285116', 'Maywood', 31);"
74;Michelina;Ramirez;6945073133;Heffernan;65;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (74, 'Michelina', 'Ramirez', '6945073133', 'Heffernan', 65);"
75;Doy;Mower;7139951368;Artisan;55;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (75, 'Doy', 'Mower', '7139951368', 'Artisan', 55);"
76;Ursuline;Bewshaw;7187217480;Express;44;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (76, 'Ursuline', 'Bewshaw', '7187217480', 'Express', 44);"
77;Emera;Crowche;9298569861;Arrowood;24;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (77, 'Emera', 'Crowche', '9298569861', 'Arrowood', 24);"
78;Korie;Ghent;4125938202;Parkside;18;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (78, 'Korie', 'Ghent', '4125938202', 'Parkside', 18);"
79;Freedman;Heiner;5412323284;Bobwhite;37;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (79, 'Freedman', 'Heiner', '5412323284', 'Bobwhite', 37);"
80;Antonia;Stanhope;9676225705;Utah;66;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (80, 'Antonia', 'Stanhope', '9676225705', 'Utah', 66);"
81;Blane;Spawton;5466457293;Jenifer;38;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (81, 'Blane', 'Spawton', '5466457293', 'Jenifer', 38);"
82;Keith;Shephard;2492203786;Northfield;33;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (82, 'Keith', 'Shephard', '2492203786', 'Northfield', 33);"
83;Dorice;Fawcett;6048342313;Browning;42;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (83, 'Dorice', 'Fawcett', '6048342313', 'Browning', 42);"
84;Cory;Matteuzzi;8315806421;Maywood;61;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (84, 'Cory', 'Matteuzzi', '8315806421', 'Maywood', 61);"
85;Fiann;Pym;4272441196;Coolidge;65;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (85, 'Fiann', 'Pym', '4272441196', 'Coolidge', 65);"
86;Holly;Duerden;4699374357;4th;38;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (86, 'Holly', 'Duerden', '4699374357', '4th', 38);"
87;Pavia;Lowerson;2022499308;Anniversary;66;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (87, 'Pavia', 'Lowerson', '2022499308', 'Anniversary', 66);"
88;Jordon;Musker;8115318978;Fremont;39;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (88, 'Jordon', 'Musker', '8115318978', 'Fremont', 39);"
89;Kendal;Dake;2729426823;Kim;48;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (89, 'Kendal', 'Dake', '2729426823', 'Kim', 48);"
90;Sheilakathryn;Fishley;3388044486;Nova;42;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (90, 'Sheilakathryn', 'Fishley', '3388044486', 'Nova', 42);"
91;Patrick;Smallshaw;6459991193;Alpine;39;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (91, 'Patrick', 'Smallshaw', '6459991193', 'Alpine', 39);"
92;Guy;Carnock;7108343535;2nd;19;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (92, 'Guy', 'Carnock', '7108343535', '2nd', 19);"
93;Ernestine;Figin;7485307014;Forster;68;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (93, 'Ernestine', 'Figin', '7485307014', 'Forster', 68);"
94;Heloise;Ollin;4754202415;Mayfield;70;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (94, 'Heloise', 'Ollin', '4754202415', 'Mayfield', 70);"
95;Ritchie;Arnolds;7912186349;Lotheville;46;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (95, 'Ritchie', 'Arnolds', '7912186349', 'Lotheville', 46);"
96;Halette;Sandys;1416612716;Victoria;62;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (96, 'Halette', 'Sandys', '1416612716', 'Victoria', 62);"
97;Augie;Shorter;9577742255;Hanson;42;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (97, 'Augie', 'Shorter', '9577742255', 'Hanson', 42);"
98;Ettore;Flitcroft;6286172822;Stang;68;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (98, 'Ettore', 'Flitcroft', '6286172822', 'Stang', 68);"
99;Eda;Judgkins;8848390789;Clemons;55;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (99, 'Eda', 'Judgkins', '8848390789', 'Clemons', 55);"
100;Haskell;Goolding;4047010533;6th;27;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (100, 'Haskell', 'Goolding', '4047010533', '6th', 27);"
101;Geordie;Letixier;7383835947;Badeau;31;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (101, 'Geordie', 'Letixier', '7383835947', 'Badeau', 31);"
102;Timotheus;De Zamudio;9174645905;Mockingbird;44;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (102, 'Timotheus', 'De Zamudio', '9174645905', 'Mockingbird', 44);"
103;Sterne;Darey;7983134710;Fallview;53;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (103, 'Sterne', 'Darey', '7983134710', 'Fallview', 53);"
104;Chico;Rollingson;6235800436;Florence;31;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (104, 'Chico', 'Rollingson', '6235800436', 'Florence', 31);"
105;Nelly;Oldcroft;6359895415;Cambridge;28;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (105, 'Nelly', 'Oldcroft', '6359895415', 'Cambridge', 28);"
106;Kerry;Youles;7045025882;Monterey;54;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (106, 'Kerry', 'Youles', '7045025882', 'Monterey', 54);"
107;Quinlan;Bende;1269509259;Bonner;21;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (107, 'Quinlan', 'Bende', '1269509259', 'Bonner', 21);"
108;Alessandro;Beardshaw;2414511457;Novick;41;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (108, 'Alessandro', 'Beardshaw', '2414511457', 'Novick', 41);"
109;Celestyn;Trunchion;9408467156;Cordelia;23;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (109, 'Celestyn', 'Trunchion', '9408467156', 'Cordelia', 23);"
110;Rachele;Messier;3788640369;Texas;62;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (110, 'Rachele', 'Messier', '3788640369', 'Texas', 62);"
111;Gradey;Alston;8288296300;Steensland;21;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (111, 'Gradey', 'Alston', '8288296300', 'Steensland', 21);"
112;Arly;Booij;3944474628;Coolidge;46;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (112, 'Arly', 'Booij', '3944474628', 'Coolidge', 46);"
113;Aurthur;Casolla;9403645976;Independence;23;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (113, 'Aurthur', 'Casolla', '9403645976', 'Independence', 23);"
114;Darrell;Leguay;1672260606;Sunnyside;24;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (114, 'Darrell', 'Leguay', '1672260606', 'Sunnyside', 24);"
115;Dacey;Maryott;8902817219;Lunder;32;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (115, 'Dacey', 'Maryott', '8902817219', 'Lunder', 32);"
116;Amerigo;Winkett;6197547250;Starling;20;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (116, 'Amerigo', 'Winkett', '6197547250', 'Starling', 20);"
117;Janaye;Leinweber;4126081336;Fairfield;24;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (117, 'Janaye', 'Leinweber', '4126081336', 'Fairfield', 24);"
118;Andeee;Le Huquet;3072700238;Main;59;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (118, 'Andeee', 'Le Huquet', '3072700238', 'Main', 59);"
119;Danyette;Tredinnick;7842801094;Delladonna;22;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (119, 'Danyette', 'Tredinnick', '7842801094', 'Delladonna', 22);"
120;Sid;Whereat;4032401406;Cody;58;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (120, 'Sid', 'Whereat', '4032401406', 'Cody', 58);"
121;Adeline;Mc Queen;5828169364;Hansons;51;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (121, 'Adeline', 'Mc Queen', '5828169364', 'Hansons', 51);"
122;Perceval;Yerson;2764311657;Ruskin;52;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (122, 'Perceval', 'Yerson', '2764311657', 'Ruskin', 52);"
123;Minne;Meryett;9864290065;Monterey;20;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (123, 'Minne', 'Meryett', '9864290065', 'Monterey', 20);"
124;Vilhelmina;Twells;5631686861;Delladonna;25;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (124, 'Vilhelmina', 'Twells', '5631686861', 'Delladonna', 25);"
125;Rik;Lorrie;6909262060;Cascade;60;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (125, 'Rik', 'Lorrie', '6909262060', 'Cascade', 60);"
126;Delaney;Kalewe;4099480286;Vernon;18;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (126, 'Delaney', 'Kalewe', '4099480286', 'Vernon', 18);"
127;Tasha;Masdon;6934841202;Holy Cross;61;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (127, 'Tasha', 'Masdon', '6934841202', 'Holy Cross', 61);"
128;Tristam;Meaking;9226697435;Muir;56;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (128, 'Tristam', 'Meaking', '9226697435', 'Muir', 56);"
129;Courtney;Yearn;1175218174;Corscot;60;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (129, 'Courtney', 'Yearn', '1175218174', 'Corscot', 60);"
130;Julius;Bellino;5172141684;Northridge;28;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (130, 'Julius', 'Bellino', '5172141684', 'Northridge', 28);"
131;Maxie;Rubenchik;8596668756;Pine View;55;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (131, 'Maxie', 'Rubenchik', '8596668756', 'Pine View', 55);"
132;Lamond;Myerscough;1787892636;Forest Run;62;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (132, 'Lamond', 'Myerscough', '1787892636', 'Forest Run', 62);"
133;Murray;Benthall;9211361134;Dovetail;50;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (133, 'Murray', 'Benthall', '9211361134', 'Dovetail', 50);"
134;Gerhardt;Highton;9177955397;Trailsway;56;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (134, 'Gerhardt', 'Highton', '9177955397', 'Trailsway', 56);"
135;Randie;Walicki;1107475350;Prairieview;41;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (135, 'Randie', 'Walicki', '1107475350', 'Prairieview', 41);"
136;Jody;Kirkwood;5969240346;Maywood;37;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (136, 'Jody', 'Kirkwood', '5969240346', 'Maywood', 37);"
137;Lurette;Barday;8885768269;Golden Leaf;48;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (137, 'Lurette', 'Barday', '8885768269', 'Golden Leaf', 48);"
138;Emile;Akeherst;3648252876;Bartillon;31;"INSERT INTO compras_repartidor (id, nombre, apellido, telefono, direccion, edad) VALUES (138, 'Emile', 'Akeherst', '3648252876', 'Bartillon', 31);"
